A = loop10  (bs-29-il-4096-1781182779.2489107-TP-0-DECODE.trace.json.gz)  total_us=385276
B = case2  (bs-29-il-4096-1781002454.0426412-TP-0-DECODE.trace.json.gz)  total_us=342857
A/B total ratio = 1.12x

=== CATEGORY ROLLUP (us, and % of own total) ===
category                       A_us     A%       B_us     B%     A-B us
MoE                           91991   23.9     118590   34.6     -26600
all-reduce                    70554   18.3      39815   11.6      30739
GEMM/proj                     34159    8.9      49335   14.4     -15175
attention(MLA)                40768   10.6      40521   11.8        246
norm/rope/elementwise         42669   11.1      20278    5.9      22391
fp8-quant(index)              27646    7.2      30617    8.9      -2971
topk/sort stack               20482    5.3      20564    6.0        -82
other                         34019    8.8       5843    1.7      28175
DS:logical-score              22869    5.9          0    0.0      22869
DSA:topk-transform                0    0.0       7685    2.2      -7685
DSA:mqa-logits                   29    0.0       6875    2.0      -6846
hadamard/sig                      0    0.0       2641    0.8      -2641
memcpy/set                       91    0.0         93    0.0         -1

=== PER-KERNEL (us): A vs B, sorted by |A-B| ===
      A_us       B_us        A-B  kernel
     35376       2791      32585  void (anonymous namespace)::all_reduce_two_shot_kernel<__nv_bfloat16, 8u, true>(host::di
     88926     115592     -26666  fused_moe_kernel
     22869          0      22869  _logical_score_kernel
     18494          0      18494  _radix_hist_kernel
         0       7685      -7685  (anonymous namespace)::topk_transform_decode_kernel((anonymous namespace)::FastTopKParam
      4110      11327      -7217  void deep_gemm::sm90_fp8_gemm_1d2d_impl<(cute::UMMA::Major)0, 0u, 0u, 0u, 1u, 32u, 16u, 
         0       6846      -6846  void deep_gemm::sm90_fp8_paged_mqa_logits<1u, 32u, 128u, 64u, true, false, 3u, 3u, 256u,
      5588          0       5588  _radix_scan_kernel
         0       5543      -5543  void deep_gemm::sm90_fp8_gemm_1d2d_impl<(cute::UMMA::Major)0, 0u, 0u, 0u, 1u, 32u, 64u, 
      4505        126       4379  void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::Ten
      3954          9       3945  void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<int>, std::arr
         0       3831      -3831  nvjet_sm90_tss_64x32_64x16_1x1_h_bz_splitK_TNT
      3434          0       3434  void at::native::_scatter_gather_elementwise_kernel<128, 8, at::native::_cuda_scatter_ga
     11152       8436       2716  void deep_gemm::sm90_fp8_gemm_1d2d_impl<(cute::UMMA::Major)0, 0u, 0u, 0u, 1u, 32u, 32u, 
      2704          0       2704  _emit_kernel
         0       2641      -2641  void (anonymous namespace)::fast_hadamard_transform_kernel<(anonymous namespace)::FastHa
      2244          0       2244  void at::native::index_elementwise_kernel<128, 4, at::native::index_copy_kernel_impl<at:
      2124          0       2124  void at::native::index_elementwise_kernel<128, 4, at::native::index_fill_kernel_impl<at:
      1871          0       1871  _logical_to_physical_kernel
      5373       3566       1807  void at::native::elementwise_kernel<128, 4, at::native::gpu_kernel_impl_nocast<at::nativ
      1642         13       1629  void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::Ten
     23878      25415      -1537  void per_token_group_quant_8bit_kernel<NaiveScheduler, 128, 8, __nv_bfloat16, c10::Float
         0       1421      -1421  _act_quant_kernel
      1337          0       1337  _block_count_kernel
         0       1323      -1323  void cublasLt::splitKreduce_kernel<32, 16, int, float, float, float, float, false, float
      1246          0       1246  void at::native::vectorized_elementwise_kernel<8, at::native::bfloat16_copy_kernel_cuda(
         0       1150      -1150  kernel_cutlass_kernel_flashinfernormkernelslayernormLayerNormKernel_object_at__tensorptr
         0       1129      -1129  void (anonymous namespace)::fused_store_indexer_cache<__nv_bfloat16, long, 6u, true>((an
      1520       2571      -1050  void (anonymous namespace)::fused_rope_kernel<false, 64l, true, __nv_bfloat16, long, 8u>
      1036         12       1024  void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::Ten
       889          0        889  _block_prefix_kernel
       807          0        807  void at::native::vectorized_elementwise_kernel<8, at::native::float16_copy_kernel_cuda(a
         0        805       -805  triton_poi_fused_mul_unsqueeze_0
         0        756       -756  triton_poi_fused_mul_0
       714         23        691  void at::native::vectorized_elementwise_kernel<2, at::native::FillFunctor<long>, std::ar
     33328      33841       -513  void flashinfer::trtllm_allreduce_fusion::allreduce_fusion_kernel_oneshot_lamport<(flash
      7668       7393        275  void smxx::decode::flash_fwd_mla_combine_kernel<cutlass::bfloat16_t, 512, 8, 160, 256>(C
      2564       2710       -146  nvjet_sm90_tst_64x16_64x16_1x2_h_bz_TNT
       672        775       -103  triton_poi_fused_sum_1
      1645       1545        100  void at::native::(anonymous namespace)::distribution_elementwise_grid_stride_kernel<unsi
