A = loop10  (bs-29-il-4096-1781182779.2489107-TP-0-DECODE.trace.json.gz)  total_us=385276
B = loop9r1  (bs-29-il-4096-1781142012.554309-TP-0-DECODE.trace.json.gz)  total_us=480989
A/B total ratio = 0.80x

=== CATEGORY ROLLUP (us, and % of own total) ===
category                       A_us     A%       B_us     B%     A-B us
all-reduce                    70554   18.3     128609   26.7     -58055
MoE                           91991   23.9      91886   19.1        105
norm/rope/elementwise         42669   11.1      59199   12.3     -16530
attention(MLA)                40768   10.6      42670    8.9      -1902
other                         34019    8.8      38713    8.0      -4694
GEMM/proj                     34159    8.9      34635    7.2       -476
DS:logical-score              22869    5.9      36908    7.7     -14039
fp8-quant(index)              27646    7.2      27723    5.8        -77
topk/sort stack               20482    5.3      20524    4.3        -42
memcpy/set                       91    0.0         93    0.0         -1
DSA:mqa-logits                   29    0.0         29    0.0         -0

=== PER-KERNEL (us): A vs B, sorted by |A-B| ===
      A_us       B_us        A-B  kernel
     35376      93480     -58104  void (anonymous namespace)::all_reduce_two_shot_kernel<__nv_bfloat16, 8u, true>(host::di
     22869      36908     -14039  _logical_score_kernel
      4505      14911     -10406  void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::Ten
      1246       7481      -6235  void at::native::vectorized_elementwise_kernel<8, at::native::bfloat16_copy_kernel_cuda(
      1337       3620      -2283  _block_count_kernel
     30242      32454      -2213  void sm90::decode::sparse_fp8::flash_fwd_splitkv_mla_fp8_sparse_kernel<sm90::decode::spa
     18494      19527      -1033  _radix_hist_kernel
      2704       3595       -890  _emit_kernel
      7668       7360        308  void smxx::decode::flash_fwd_mla_combine_kernel<cutlass::bfloat16_t, 512, 8, 160, 256>(C
      2564       2799       -235  nvjet_sm90_tst_64x16_64x16_1x2_h_bz_TNT
     11152      11376       -224  void deep_gemm::sm90_fp8_gemm_1d2d_impl<(cute::UMMA::Major)0, 0u, 0u, 0u, 1u, 32u, 32u, 
       889       1066       -178  _block_prefix_kernel
      2244       2089        156  void at::native::index_elementwise_kernel<128, 4, at::native::index_copy_kernel_impl<at:
      1871       2001       -130  _logical_to_physical_kernel
      5588       5682        -94  _radix_scan_kernel
     88926      88842         85  fused_moe_kernel
      3768       3839        -71  void per_token_group_quant_8bit_kernel<NaiveScheduler, 128, 8, __nv_bfloat16, c10::Float
      1372       1440        -68  _quantize_k_cache_fast_kernel
      1520       1566        -45  void (anonymous namespace)::fused_rope_kernel<false, 64l, true, __nv_bfloat16, long, 8u>
     33328      33292         36  void flashinfer::trtllm_allreduce_fusion::allreduce_fusion_kernel_oneshot_lamport<(flash
     13944      13978        -34  void at::native::sbtopk::gatherTopK<float, unsigned int, 2, false>(at::cuda::detail::Ten
      5772       5803        -31  void deep_gemm::sm90_fp8_gemm_1d2d_impl<(cute::UMMA::Major)0, 0u, 0u, 0u, 1u, 32u, 48u, 
      5373       5342         31  void at::native::elementwise_kernel<128, 4, at::native::gpu_kernel_impl_nocast<at::nativ
      1235       1219         15  void cublasLt::splitKreduce_kernel<32, 16, int, float, __nv_bfloat16, float, __nv_bfloat
      3434       3419         15  void at::native::_scatter_gather_elementwise_kernel<128, 8, at::native::_cuda_scatter_ga
      1058       1045         13  void count_and_sort_expert_tokens_kernel<int>(int const*, int*, int*, unsigned long)
       991       1004        -13  triton_poi_fused_add_sigmoid_unsqueeze_0
      1292       1305        -13  triton_poi_fused__to_copy_copy_div_gather_randint_select_sigmoid_4
       714        726        -12  void at::native::vectorized_elementwise_kernel<2, at::native::FillFunctor<long>, std::ar
      3954       3964        -11  void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<int>, std::arr
      1036       1046        -10  void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::Ten
      2124       2134        -10  void at::native::index_elementwise_kernel<128, 4, at::native::index_fill_kernel_impl<at:
       807        799          8  void at::native::vectorized_elementwise_kernel<8, at::native::float16_copy_kernel_cuda(a
      6538       6546         -8  void at::native::bitonicSortKVInPlace<2, -1, 16, 16, float, long, at::native::GTOp<float
      1645       1653         -8  void at::native::(anonymous namespace)::distribution_elementwise_grid_stride_kernel<unsi
      1642       1635          7  void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::Ten
      4110       4103          7  void deep_gemm::sm90_fp8_gemm_1d2d_impl<(cute::UMMA::Major)0, 0u, 0u, 0u, 1u, 32u, 16u, 
      2006       1999          7  void moe_align_block_size_kernel<int>(int const*, int*, int*, int*, int, int, unsigned l
       466        473         -7  ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsStorage<4096ul>)
      3851       3845          6  nvjet_sm90_tst_32x64_64x16_4x1_v_bz_splitK_TNN
