A = loop10  (bs-29-il-4096-1781174420.966059-TP-0-DECODE.trace.json.gz)  total_us=481253
B = loop9r1  (bs-29-il-4096-1781142012.554309-TP-0-DECODE.trace.json.gz)  total_us=480989
A/B total ratio = 1.00x

=== CATEGORY ROLLUP (us, and % of own total) ===
category                       A_us     A%       B_us     B%     A-B us
all-reduce                   127082   26.4     128609   26.7      -1527
MoE                           91942   19.1      91886   19.1         56
norm/rope/elementwise         59712   12.4      59199   12.3        512
attention(MLA)                43078    9.0      42670    8.9        408
other                         38835    8.1      38713    8.0        122
DS:logical-score              36910    7.7      36908    7.7          2
GEMM/proj                     34948    7.3      34635    7.2        313
fp8-quant(index)              28094    5.8      27723    5.8        370
topk/sort stack               20532    4.3      20524    4.3          8
memcpy/set                       93    0.0         93    0.0         -0
DSA:mqa-logits                   29    0.0         29    0.0         -0

=== PER-KERNEL (us): A vs B, sorted by |A-B| ===
      A_us       B_us        A-B  kernel
     92252      93480      -1228  void (anonymous namespace)::all_reduce_two_shot_kernel<__nv_bfloat16, 8u, true>(host::di
      7769       7360        409  void smxx::decode::flash_fwd_mla_combine_kernel<cutlass::bfloat16_t, 512, 8, 160, 256>(C
     32981      33292       -311  void flashinfer::trtllm_allreduce_fusion::allreduce_fusion_kernel_oneshot_lamport<(flash
      4050       3839        211  void per_token_group_quant_8bit_kernel<NaiveScheduler, 128, 8, __nv_bfloat16, c10::Float
     24044      23884        159  void per_token_group_quant_8bit_kernel<NaiveScheduler, 128, 8, __nv_bfloat16, c10::Float
      2506       2362        145  void (anonymous namespace)::act_and_mul_kernel<__nv_bfloat16, ((anonymous namespace)::Ac
      5320       5190        130  triton_per_fused_copy__mul_sum_0
      1246       1157         89  kernel_cutlass_kernel_flashinfernormkernelsrmsnormRMSNormKernel_object_at__tensorptrbf16
      7570       7481         89  void at::native::vectorized_elementwise_kernel<8, at::native::bfloat16_copy_kernel_cuda(
      1850       1789         61  kernel_cutlass_kernel_flashinfernormkernelsrmsnormRMSNormKernel_object_at__tensorptrbf16
      1495       1440         55  _quantize_k_cache_fast_kernel
      1097       1045         52  void count_and_sort_expert_tokens_kernel<int>(int const*, int*, int*, unsigned long)
       768        726         42  void at::native::vectorized_elementwise_kernel<2, at::native::FillFunctor<long>, std::ar
      2841       2799         42  nvjet_sm90_tst_64x16_64x16_1x2_h_bz_TNT
      5380       5342         38  void at::native::elementwise_kernel<128, 4, at::native::gpu_kernel_impl_nocast<at::nativ
     19562      19527         34  _radix_hist_kernel
      3878       3845         33  nvjet_sm90_tst_32x64_64x16_4x1_v_bz_splitK_TNN
      3055       3024         31  nvjet_sm90_tst_64x8_64x16_1x2_h_bz_TNT
      3987       3964         23  void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<int>, std::arr
      5826       5803         23  void deep_gemm::sm90_fp8_gemm_1d2d_impl<(cute::UMMA::Major)0, 0u, 0u, 0u, 1u, 32u, 48u, 
     11398      11376         22  void deep_gemm::sm90_fp8_gemm_1d2d_impl<(cute::UMMA::Major)0, 0u, 0u, 0u, 1u, 32u, 32u, 
     32433      32454        -22  void sm90::decode::sparse_fp8::flash_fwd_splitkv_mla_fp8_sparse_kernel<sm90::decode::spa
      5700       5682         19  _radix_scan_kernel
      1652       1635         17  void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::Ten
      1036       1023         13  set_mla_kv_buffer_kernel
      1577       1566         12  void (anonymous namespace)::fused_rope_kernel<false, 64l, true, __nv_bfloat16, long, 8u>
      2010       1999         11  void moe_align_block_size_kernel<int>(int const*, int*, int*, int*, int, int, unsigned l
      1230       1219         10  void cublasLt::splitKreduce_kernel<32, 16, int, float, __nv_bfloat16, float, __nv_bfloat
      1662       1653          9  void at::native::(anonymous namespace)::distribution_elementwise_grid_stride_kernel<unsi
      1076       1066          9  _block_prefix_kernel
      2125       2134         -9  void at::native::index_elementwise_kernel<128, 4, at::native::index_fill_kernel_impl<at:
      6555       6546          8  void at::native::bitonicSortKVInPlace<2, -1, 16, 16, float, long, at::native::GTOp<float
     14919      14911          8  void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::Ten
      1552       1545          8  (anonymous namespace)::concat_mla_absorb_q_kernel(__nv_bfloat16*, __nv_bfloat16*, __nv_b
     88835      88842         -7  fused_moe_kernel
      4109       4103          7  void deep_gemm::sm90_fp8_gemm_1d2d_impl<(cute::UMMA::Major)0, 0u, 0u, 0u, 1u, 32u, 16u, 
      1330       1325          6  triton_red_fused_copy_gather_select_sigmoid_slice_sum_3
      3414       3419         -5  void at::native::_scatter_gather_elementwise_kernel<128, 8, at::native::_cuda_scatter_ga
      3599       3595          5  _emit_kernel
      3624       3620          4  _block_count_kernel
