A = loop10  (bs-29-il-4096-1781179281.9842434-TP-0-DECODE.trace.json.gz)  total_us=375892
B = loop9r1  (bs-29-il-4096-1781142012.554309-TP-0-DECODE.trace.json.gz)  total_us=480989
A/B total ratio = 0.78x

=== CATEGORY ROLLUP (us, and % of own total) ===
category                       A_us     A%       B_us     B%     A-B us
all-reduce                    59410   15.8     128609   26.7     -69199
MoE                           91997   24.5      91886   19.1        112
norm/rope/elementwise         43150   11.5      59199   12.3     -16050
attention(MLA)                41025   10.9      42670    8.9      -1644
other                         34112    9.1      38713    8.0      -4601
GEMM/proj                     34410    9.2      34635    7.2       -226
DS:logical-score              23080    6.1      36908    7.7     -13827
fp8-quant(index)              28034    7.5      27723    5.8        311
topk/sort stack               20554    5.5      20524    4.3         30
memcpy/set                       90    0.0         93    0.0         -2
DSA:mqa-logits                   29    0.0         29    0.0         -0

=== PER-KERNEL (us): A vs B, sorted by |A-B| ===
      A_us       B_us        A-B  kernel
     24420      93480     -69061  void (anonymous namespace)::all_reduce_two_shot_kernel<__nv_bfloat16, 8u, true>(host::di
     23080      36908     -13827  _logical_score_kernel
      4602      14911     -10308  void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::Ten
      1397       7481      -6084  void at::native::vectorized_elementwise_kernel<8, at::native::bfloat16_copy_kernel_cuda(
      1338       3620      -2282  _block_count_kernel
     30251      32454      -2203  void sm90::decode::sparse_fp8::flash_fwd_splitkv_mla_fp8_sparse_kernel<sm90::decode::spa
     18394      19527      -1133  _radix_hist_kernel
      2718       3595       -877  _emit_kernel
      7900       7360        540  void smxx::decode::flash_fwd_mla_combine_kernel<cutlass::bfloat16_t, 512, 8, 160, 256>(C
     11146      11376       -230  void deep_gemm::sm90_fp8_gemm_1d2d_impl<(cute::UMMA::Major)0, 0u, 0u, 0u, 1u, 32u, 32u, 
      2577       2799       -221  nvjet_sm90_tst_64x16_64x16_1x2_h_bz_TNT
     24070      23884        185  void per_token_group_quant_8bit_kernel<NaiveScheduler, 128, 8, __nv_bfloat16, c10::Float
       894       1066       -172  _block_prefix_kernel
     33126      33292       -166  void flashinfer::trtllm_allreduce_fusion::allreduce_fusion_kernel_oneshot_lamport<(flash
      2513       2362        152  void (anonymous namespace)::act_and_mul_kernel<__nv_bfloat16, ((anonymous namespace)::Ac
      5334       5190        143  triton_per_fused_copy__mul_sum_0
      1875       2001       -126  _logical_to_physical_kernel
      3965       3839        125  void per_token_group_quant_8bit_kernel<NaiveScheduler, 128, 8, __nv_bfloat16, c10::Float
     88949      88842        107  fused_moe_kernel
      2239       2134        106  void at::native::index_elementwise_kernel<128, 4, at::native::index_fill_kernel_impl<at:
      1554       1653        -99  void at::native::(anonymous namespace)::distribution_elementwise_grid_stride_kernel<unsi
      1245       1157         88  kernel_cutlass_kernel_flashinfernormkernelsrmsnormRMSNormKernel_object_at__tensorptrbf16
       737        676         61  triton_poi_fused_sum_1
      5400       5342         58  void at::native::elementwise_kernel<128, 4, at::native::gpu_kernel_impl_nocast<at::nativ
      6604       6546         58  void at::native::bitonicSortKVInPlace<2, -1, 16, 16, float, long, at::native::GTOp<float
      3362       3419        -58  void at::native::_scatter_gather_elementwise_kernel<128, 8, at::native::_cuda_scatter_ga
      1252       1305        -53  triton_poi_fused__to_copy_copy_div_gather_randint_select_sigmoid_4
      2137       2089         48  void at::native::index_elementwise_kernel<128, 4, at::native::index_copy_kernel_impl<at:
       794        748         46  triton_poi_fused__to_copy_arange_bitwise_not_eq_expand_masked_fill_scalar_tensor_unsquee
      5640       5682        -41  _radix_scan_kernel
      3877       3845         32  nvjet_sm90_tst_32x64_64x16_4x1_v_bz_splitK_TNN
     13950      13978        -28  void at::native::sbtopk::gatherTopK<float, unsigned int, 2, false>(at::cuda::detail::Ten
      3052       3024         28  nvjet_sm90_tst_64x8_64x16_1x2_h_bz_TNT
      1663       1635         28  void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::Ten
       701        726        -25  void at::native::vectorized_elementwise_kernel<2, at::native::FillFunctor<long>, std::ar
      4127       4103         24  void deep_gemm::sm90_fp8_gemm_1d2d_impl<(cute::UMMA::Major)0, 0u, 0u, 0u, 1u, 32u, 16u, 
      1813       1789         24  kernel_cutlass_kernel_flashinfernormkernelsrmsnormRMSNormKernel_object_at__tensorptrbf16
      1417       1440        -23  _quantize_k_cache_fast_kernel
      1242       1219         22  void cublasLt::splitKreduce_kernel<32, 16, int, float, __nv_bfloat16, float, __nv_bfloat
      5824       5803         21  void deep_gemm::sm90_fp8_gemm_1d2d_impl<(cute::UMMA::Major)0, 0u, 0u, 0u, 1u, 32u, 48u, 
