A = loop10  (bs-29-il-4096-1781184357.325376-TP-0-DECODE.trace.json.gz)  total_us=361824
B = loop9r1  (bs-29-il-4096-1781142012.554309-TP-0-DECODE.trace.json.gz)  total_us=480989
A/B total ratio = 0.75x

=== CATEGORY ROLLUP (us, and % of own total) ===
category                       A_us     A%       B_us     B%     A-B us
MoE                           91956   25.4      91886   19.1         70
all-reduce                    49782   13.8     128609   26.7     -78827
norm/rope/elementwise         40209   11.1      59199   12.3     -18991
attention(MLA)                40531   11.2      42670    8.9      -2138
other                         33947    9.4      38713    8.0      -4766
GEMM/proj                     34167    9.4      34635    7.2       -468
DS:logical-score              22887    6.3      36908    7.7     -14020
fp8-quant(index)              27766    7.7      27723    5.8         42
topk/sort stack               20462    5.7      20524    4.3        -62
memcpy/set                       89    0.0         93    0.0         -4
DSA:mqa-logits                   29    0.0         29    0.0         -1

=== PER-KERNEL (us): A vs B, sorted by |A-B| ===
      A_us       B_us        A-B  kernel
     14137      93480     -79343  void (anonymous namespace)::all_reduce_two_shot_kernel<__nv_bfloat16, 8u, true>(host::di
     22887      36908     -14020  _logical_score_kernel
      2206      14911     -12705  void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::Ten
      1280       7481      -6201  void at::native::vectorized_elementwise_kernel<8, at::native::bfloat16_copy_kernel_cuda(
      1338       3620      -2281  _block_count_kernel
     30213      32454      -2241  void sm90::decode::sparse_fp8::flash_fwd_splitkv_mla_fp8_sparse_kernel<sm90::decode::spa
      2546       3595      -1048  _emit_kernel
     18501      19527      -1027  _radix_hist_kernel
     33785      33292        493  void flashinfer::trtllm_allreduce_fusion::allreduce_fusion_kernel_oneshot_lamport<(flash
     11143      11376       -233  void deep_gemm::sm90_fp8_gemm_1d2d_impl<(cute::UMMA::Major)0, 0u, 0u, 0u, 1u, 32u, 32u, 
      2570       2799       -228  nvjet_sm90_tst_64x16_64x16_1x2_h_bz_TNT
       886       1066       -180  _block_prefix_kernel
      1874       2001       -126  _logical_to_physical_kernel
     23995      23884        111  void per_token_group_quant_8bit_kernel<NaiveScheduler, 128, 8, __nv_bfloat16, c10::Float
      7469       7360        109  void smxx::decode::flash_fwd_mla_combine_kernel<cutlass::bfloat16_t, 512, 8, 160, 256>(C
     88935      88842         93  fused_moe_kernel
      3771       3839        -69  void per_token_group_quant_8bit_kernel<NaiveScheduler, 128, 8, __nv_bfloat16, c10::Float
      1593       1653        -60  void at::native::(anonymous namespace)::distribution_elementwise_grid_stride_kernel<unsi
     13926      13978        -52  void at::native::sbtopk::gatherTopK<float, unsigned int, 2, false>(at::cuda::detail::Ten
      3918       3964        -47  void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<int>, std::arr
      1399       1440        -41  _quantize_k_cache_fast_kernel
      5641       5682        -40  _radix_scan_kernel
      3456       3419         37  void at::native::_scatter_gather_elementwise_kernel<128, 8, at::native::_cuda_scatter_ga
      3809       3845        -36  nvjet_sm90_tst_32x64_64x16_4x1_v_bz_splitK_TNN
      5831       5803         28  void deep_gemm::sm90_fp8_gemm_1d2d_impl<(cute::UMMA::Major)0, 0u, 0u, 0u, 1u, 32u, 48u, 
       821        799         22  void at::native::vectorized_elementwise_kernel<8, at::native::float16_copy_kernel_cuda(a
       983       1004        -22  triton_poi_fused_add_sigmoid_unsqueeze_0
      1239       1219         20  void cublasLt::splitKreduce_kernel<32, 16, int, float, __nv_bfloat16, float, __nv_bfloat
      4119       4103         16  void deep_gemm::sm90_fp8_gemm_1d2d_impl<(cute::UMMA::Major)0, 0u, 0u, 0u, 1u, 32u, 16u, 
      1550       1566        -16  void (anonymous namespace)::fused_rope_kernel<false, 64l, true, __nv_bfloat16, long, 8u>
      1984       1999        -16  void moe_align_block_size_kernel<int>(int const*, int*, int*, int*, int, int, unsigned l
       711        726        -15  void at::native::vectorized_elementwise_kernel<2, at::native::FillFunctor<long>, std::ar
      1310       1325        -15  triton_red_fused_copy_gather_select_sigmoid_slice_sum_3
      2121       2134        -13  void at::native::index_elementwise_kernel<128, 4, at::native::index_fill_kernel_impl<at:
      2373       2362         11  void (anonymous namespace)::act_and_mul_kernel<__nv_bfloat16, ((anonymous namespace)::Ac
      6536       6546        -10  void at::native::bitonicSortKVInPlace<2, -1, 16, 16, float, long, at::native::GTOp<float
      1209       1219         -9  void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::BFloat16>
      1314       1305          9  triton_poi_fused__to_copy_copy_div_gather_randint_select_sigmoid_4
      1643       1635          8  void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::Ten
      1037       1045         -7  void count_and_sort_expert_tokens_kernel<int>(int const*, int*, int*, unsigned long)
