probe	variant	indexer	envelope	fraction	status	max_total_num_tokens	bs_cap_4608	table_GB	ready_GB
p14_fp16_off_def_070	fp16	off	def	0.70	OK	174848	37	6.51	25.27
fp16_off_def_075	fp16	off	def	0.75	OK	339712	73	12.64	11.21
fp16_off_def_080	fp16	off	def	0.80	BOOT_FAIL	0	0	18.77	None
fp16_off_rs_075	fp16	off	rs	0.75	OK	339712	73	12.64	16.66
fp16_off_rs_080	fp16	off	rs	0.80	OK	504640	109	18.77	2.75
fp16_off_rs_085	fp16	off	rs	0.85	BOOT_FAIL	0	0	None	None
p01_fp16_on_def_070	fp16	on	def	0.70	OK	142208	30	5.29	26.63
p02_fp16_on_def_075	fp16	on	def	0.75	OK	276416	59	10.28	13.87
p03_fp16_on_def_080	fp16	on	def	0.80	OK	410560	89	15.27	1.25
fp16_on_def_085	fp16	on	def	0.85	BOOT_FAIL	0	0	None	None
p04_fp16_on_rs_075	fp16	on	rs	0.75	OK	276416	59	10.28	19.33
fp16_on_rs_080	fp16	on	rs	0.80	OK	410560	89	15.27	6.71
fp16_on_rs_085	fp16	on	rs	0.85	BOOT_FAIL	0	0	None	None
p05_fp16_on_rs16k_080	fp16	on	rs16k	0.80	OK	410560	89	15.27	6.94
int8_off_def_075	int8	off	def	0.75	OK	339712	73	6.71	16.88
int8_off_def_080	int8	off	def	0.80	OK	504640	109	9.97	5.84
int8_off_def_085	int8	off	def	0.85	BOOT_FAIL	0	0	13.23	None
int8_off_rs_075	int8	off	rs	0.75	OK	339712	73	6.71	22.53
int8_off_rs_080	int8	off	rs	0.80	OK	504640	109	9.97	11.49
int8_off_rs_085	int8	off	rs	0.85	OK	669568	145	13.23	1.05
int8_off_rs_090	int8	off	rs	0.90	BOOT_FAIL	0	0	None	None
p10_int8_off_rs16k_080	int8	off	rs16k	0.80	OK	504640	109	9.97	11.71
p06_int8_on_def_075	int8	on	def	0.75	OK	276416	59	5.46	18.45
p07_int8_on_def_080	int8	on	def	0.80	OK	410560	89	8.11	8.17
int8_on_def_085	int8	on	def	0.85	BOOT_FAIL	0	0	10.76	None
int8_on_rs_075	int8	on	rs	0.75	OK	276416	59	5.46	24.09
p08_int8_on_rs_080	int8	on	rs	0.80	OK	410560	89	8.11	13.81
int8_on_rs_085	int8	on	rs	0.85	OK	544704	118	10.76	3.38
int8_on_rs_090	int8	on	rs	0.90	BOOT_FAIL	0	0	None	None
p09_int8_on_rs16k_080	int8	on	rs16k	0.80	OK	410560	89	8.11	14.04
tf_off_def_075	tf	off	def	0.75	OK	339712	73	0.3	23.57
tf_off_def_080	tf	off	def	0.80	OK	504640	109	0.3	15.8
tf_off_def_085	tf	off	def	0.85	OK	669568	145	0.3	7.87
tf_off_def_090	tf	off	def	0.90	BOOT_FAIL	0	0	0.3	None
tf_off_rs_075	tf	off	rs	0.75	OK	339712	73	0.3	29.02
p12_tf_off_rs_080	tf	off	rs	0.80	OK	504640	109	0.3	21.25
tf_off_rs_085	tf	off	rs	0.85	OK	669568	145	0.3	13.33
tf_off_rs_090	tf	off	rs	0.90	OK	834432	181	0.3	5.41
tf_off_rs_095	tf	off	rs	0.95	BOOT_FAIL	0	0	0.3	None
p13_tf_off_rs16k_085	tf	off	rs16k	0.85	OK	669568	145	0.3	13.55
tf_on_def_075	tf	on	def	0.75	OK	276416	59	0.3	23.87
p11_tf_on_def_080	tf	on	def	0.80	OK	410560	89	0.3	16.26
tf_on_def_085	tf	on	def	0.85	OK	544704	118	0.3	8.48
tf_on_def_090	tf	on	def	0.90	OK	678848	147	0.3	0.87
tf_on_def_095	tf	on	def	0.95	BOOT_FAIL	0	0	0.3	None
tf_on_rs_075	tf	on	rs	0.75	OK	276416	59	0.3	29.33
tf_on_rs_080	tf	on	rs	0.80	OK	410560	89	0.3	21.71
tf_on_rs_085	tf	on	rs	0.85	OK	544704	118	0.3	13.94
tf_on_rs_090	tf	on	rs	0.90	OK	678848	147	0.3	6.32
tf_on_rs_095	tf	on	rs	0.95	BOOT_FAIL	0	0	0.3	None
