trace: 1780945922.6720684-TP-0.trace.json.gz  (5335872 events, total GPU-kernel us=9957100)

        tot_us      %    calls  kernel
       3690168   37.1     2512  ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKernelArgsStorage<4096ul>)
       1630799   16.4     5850  fused_moe_kernel
        472115    4.7     6099  void deep_gemm::sm90_fp8_gemm_1d2d_impl<(cute::UMMA::Major)0, 0u, 0u, 0u, 1u, 256u, 128u, 
        319554    3.2     8775  void at::native::sbtopk::gatherTopK<float, unsigned int, 2, false>(at::cuda::detail::Tenso
        293852    3.0     1248  void cutlass::device_kernel<flash::enable_sm90_or_later<flash::FlashAttnFwdSm90<flash::Col
        287722    2.9     1794  ncclDevKernel_AllReduce_Sum_f32_RING_LL(ncclDevKernelArgsStorage<4096ul>)
        273800    2.7     1407  void deep_gemm::sm90_fp8_gemm_1d2d_impl<(cute::UMMA::Major)0, 0u, 0u, 0u, 1u, 256u, 112u, 
        263752    2.6     1200  void moe_sum_reduce_warp_per_token_vec_kernel<8>(c10::BFloat16 const*, c10::BFloat16*, lon
        232576    2.3     2519  kernel_cutlass_kernel_flashinfernormkernelsfused_add_rmsnormFusedAddRMSNormKernel_object_a
        219591    2.2     1248  (anonymous namespace)::topk_transform_prefill_kernel((anonymous namespace)::FastTopKParams
        219493    2.2    16146  void per_token_group_quant_8bit_kernel<NaiveScheduler, 128, 8, __nv_bfloat16, c10::Float8_
        197401    2.0     1248  void deep_gemm::sm90_fp8_mqa_logits<32u, 128u, false, 4u, 256u, 3u, 3u, 132u, 128u, 512u, 
        194980    2.0     2496  void (anonymous namespace)::fast_hadamard_transform_kernel<(anonymous namespace)::FastHada
        145437    1.5     1794  _logical_score_kernel
        127990    1.3    11504  void at::native::elementwise_kernel<128, 4, at::native::gpu_kernel_impl_nocast<at::native:
        127161    1.3     5850  void per_token_group_quant_8bit_kernel<NaiveScheduler, 128, 8, __nv_bfloat16, c10::Float8_
         95654    1.0     7176  void at::native::mbtopk::computeBlockDigitCounts<float, unsigned int, unsigned int, 2>(at:
         79204    0.8     3565  void flashinfer::trtllm_allreduce_fusion::allreduce_fusion_kernel_oneshot_lamport<(flashin
         73273    0.7     1794  void sm90::decode::sparse_fp8::flash_fwd_splitkv_mla_fp8_sparse_kernel<sm90::decode::spars
         65546    0.7     1794  void at::native::sbtopk::gatherTopK<long, unsigned int, 2, false>(at::cuda::detail::Tensor
