DS decode profile (conc 32, GLM-5.1 256-mask) — rank 1780910416.5680969-TP-0.trace.json.gz
5611380 trace events; total GPU-kernel time 10552.8 ms across the capture window

    tot_ms      %    calls  kernel
   3736.32   35.4     2558  ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKernelArgsStorage<4096ul>)
   1685.04   16.0     5850  fused_moe_kernel
    482.49    4.6     6177  void deep_gemm::sm90_fp8_gemm_1d2d_impl<(cute::UMMA::Major)0, 0u, 0u, 0u, 1u, 256u, 128u
    426.23    4.0      155  void flashinfer::trtllm_allreduce_fusion::allreduce_fusion_kernel_twoshot_sync<(flashinf
    328.88    3.1     8775  void at::native::sbtopk::gatherTopK<float, unsigned int, 2, false>(at::cuda::detail::Ten
    304.53    2.9     1326  void cutlass::device_kernel<flash::enable_sm90_or_later<flash::FlashAttnFwdSm90<flash::C
    285.76    2.7     1566  void deep_gemm::sm90_fp8_gemm_1d2d_impl<(cute::UMMA::Major)0, 0u, 0u, 0u, 1u, 256u, 112u
    275.64    2.6     1716  ncclDevKernel_AllReduce_Sum_f32_RING_LL(ncclDevKernelArgsStorage<4096ul>)
    272.76    2.6     1275  void moe_sum_reduce_warp_per_token_vec_kernel<8>(c10::BFloat16 const*, c10::BFloat16*, l
    238.28    2.3     2519  kernel_cutlass_kernel_flashinfernormkernelsfused_add_rmsnormFusedAddRMSNormKernel_object
    227.27    2.2     1326  (anonymous namespace)::topk_transform_prefill_kernel((anonymous namespace)::FastTopKPara
    221.61    2.1    16380  void per_token_group_quant_8bit_kernel<NaiveScheduler, 128, 8, __nv_bfloat16, c10::Float
    204.23    1.9     1326  void deep_gemm::sm90_fp8_mqa_logits<32u, 128u, false, 4u, 256u, 3u, 3u, 132u, 128u, 512u
    201.91    1.9     2652  void (anonymous namespace)::fast_hadamard_transform_kernel<(anonymous namespace)::FastHa
    140.21    1.3     1716  _logical_score_kernel
    132.47    1.3    11659  void at::native::elementwise_kernel<128, 4, at::native::gpu_kernel_impl_nocast<at::nativ
    130.14    1.2     5850  void per_token_group_quant_8bit_kernel<NaiveScheduler, 128, 8, __nv_bfloat16, c10::Float
     91.81    0.9     6864  void at::native::mbtopk::computeBlockDigitCounts<float, unsigned int, unsigned int, 2>(a
     77.40    0.7     3410  void flashinfer::trtllm_allreduce_fusion::allreduce_fusion_kernel_oneshot_lamport<(flash
     70.21    0.7     1716  void sm90::decode::sparse_fp8::flash_fwd_splitkv_mla_fp8_sparse_kernel<sm90::decode::spa
