trace file : /sgl-workspace/sglang/development/loop9/runs/20260610_m1/case1_ds/torch/trace/1781135018.04623/bs-29-il-4096-1781135018.0539434-TP-0-DECODE.trace.json.gz
stage      : decode  (matched 8 staged files; 17 total)
events=167491  total GPU-kernel us=585158

=== CATEGORY ROLLUP (% of GPU-kernel time) ===
        tot_us      %     calls  category
        187027   32.0     18678  DS-index/scoring
        102653   17.5      3120  all-reduce
         91804   15.7      3000  MoE
         73469   12.6     12442  other
         44828    7.7     14090  memcpy/set
         42549    7.3      3130  attention
         24320    4.2      4760  GEMM/proj
         18508    3.2     11000  norm/rope/elementwise

=== TOP 30 KERNELS ===
        tot_us      %     calls  kernel
         88827   15.2      1500  fused_moe_kernel
         67343   11.5       800  void (anonymous namespace)::all_reduce_two_shot_kernel<__nv_bfloat16, 8u, true>(host::distributed::A
         63161   10.8       780  _logical_score_kernel
         36915    6.3      3120  void at::native::mbtopk::computeBlockDigitCounts<float, unsigned int, unsigned int, 2>(at::cuda::det
         33448    5.7      1550  void flashinfer::trtllm_allreduce_fusion::allreduce_fusion_kernel_oneshot_lamport<(flashinfer::trtll
         32311    5.5       780  void sm90::decode::sparse_fp8::flash_fwd_splitkv_mla_fp8_sparse_kernel<sm90::decode::sparse_fp8::Ker
         28357    4.8       780  void at::native::sbtopk::gatherTopK<long, unsigned int, 2, false>(at::cuda::detail::TensorInfo<long 
         23748    4.1      3180  void per_token_group_quant_8bit_kernel<NaiveScheduler, 128, 8, __nv_bfloat16, c10::Float8_e4m3fn, tr
         21587    3.7       780  void at::native::radixSortKVInPlace<2, -1, 64, 32, long, long, unsigned int>(at::cuda::detail::Tenso
         20173    3.4       780  void at::native::mbtopk::gatherTopK<float, unsigned int, 2>(at::cuda::detail::TensorInfo<float const
         14851    2.5      1570  void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorB
         13903    2.4      2250  void at::native::sbtopk::gatherTopK<float, unsigned int, 2, false>(at::cuda::detail::TensorInfo<floa
         11384    1.9      1590  void deep_gemm::sm90_fp8_gemm_1d2d_impl<(cute::UMMA::Major)0, 0u, 0u, 0u, 1u, 32u, 32u, 128u, 128u, 
          7910    1.4      3120  void at::native::mbtopk::computeBlockwiseWithinKCounts<unsigned int, float>(unsigned int*, short*, u
          7467    1.3      3120  at::native::mbtopk::computeDigitCumSum(short*, unsigned int*, unsigned int)
          7360    1.3       780  void smxx::decode::flash_fwd_mla_combine_kernel<cutlass::bfloat16_t, 512, 8, 160, 256>(CombineParams
          6562    1.1      1500  void at::native::bitonicSortKVInPlace<2, -1, 16, 16, float, long, at::native::GTOp<float, true>, uns
          5790    1.0       810  void deep_gemm::sm90_fp8_gemm_1d2d_impl<(cute::UMMA::Major)0, 0u, 0u, 0u, 1u, 32u, 48u, 128u, 128u, 
          5679    1.0       780  void at::native::vectorized_elementwise_kernel<8, at::native::bfloat16_copy_kernel_cuda(at::TensorIt
          5308    0.9      2350  void at::native::elementwise_kernel<128, 4, at::native::gpu_kernel_impl_nocast<at::native::direct_co
          5233    0.9      1560  void at_cuda_detail::cub::detail::scan_by_key::DeviceScanByKeyKernel<at_cuda_detail::cub::detail::sc
          5192    0.9       750  triton_per_fused_copy__mul_sum_0
          4126    0.7       780  void deep_gemm::sm90_fp8_gemm_1d2d_impl<(cute::UMMA::Major)0, 0u, 0u, 0u, 1u, 32u, 16u, 128u, 128u, 
          3834    0.7       750  nvjet_sm90_tst_32x64_64x16_4x1_v_bz_splitK_TNN
          3758    0.6      1500  void per_token_group_quant_8bit_kernel<NaiveScheduler, 128, 8, __nv_bfloat16, c10::Float8_e4m3fn, fa
          3391    0.6       780  void at::native::_scatter_gather_elementwise_kernel<128, 8, at::native::_cuda_scatter_gather_interna
          3324    0.6      2350  void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorB
          3314    0.6       780  void at::native::(anonymous namespace)::searchsorted_cuda_kernel<long, long>(long*, long const*, lon
          3017    0.5       780  nvjet_sm90_tst_64x8_64x16_1x2_h_bz_TNT
          2749    0.5       780  nvjet_sm90_tst_64x16_64x16_1x2_h_bz_TNT
