A = m2  (bs-29-il-4096-1781137390.3214703-TP-0-DECODE.trace.json.gz)  total_us=512687
B = case2  (bs-29-il-4096-1781002454.0426412-TP-0-DECODE.trace.json.gz)  total_us=342857
A/B total ratio = 1.50x

=== CATEGORY ROLLUP (us, and % of own total) ===
category                       A_us     A%       B_us     B%     A-B us
MoE                           91839   17.9     118590   34.6     -26751
all-reduce                   146794   28.6      39815   11.6     106979
GEMM/proj                     34755    6.8      49335   14.4     -14579
attention(MLA)                43091    8.4      40521   11.8       2570
norm/rope/elementwise         59524   11.6      20278    5.9      39245
fp8-quant(index)              34206    6.7      30617    8.9       3589
other                         38705    7.5       5843    1.7      32862
DS:logical-score              43180    8.4          0    0.0      43180
topk/sort stack               20470    4.0      20564    6.0        -94
DSA:topk-transform                0    0.0       7685    2.2      -7685
DSA:mqa-logits                   29    0.0       6875    2.0      -6846
hadamard/sig                      0    0.0       2641    0.8      -2641
memcpy/set                       93    0.0         93    0.0          0

=== PER-KERNEL (us): A vs B, sorted by |A-B| ===
      A_us       B_us        A-B  kernel
     95225       2791      92434  void (anonymous namespace)::all_reduce_two_shot_kernel<__nv_bfloat16, 8u, true>(host::di
     43180          0      43180  _logical_score_kernel
     88782     115592     -26809  fused_moe_kernel
     19422          0      19422  _radix_hist_kernel
     49725      33841      15884  void flashinfer::trtllm_allreduce_fusion::allreduce_fusion_kernel_oneshot_lamport<(flash
     14759        126      14633  void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::Ten
         0       7685      -7685  (anonymous namespace)::topk_transform_decode_kernel((anonymous namespace)::FastTopKParam
      7548          0       7548  void at::native::vectorized_elementwise_kernel<8, at::native::bfloat16_copy_kernel_cuda(
      4086      11327      -7241  void deep_gemm::sm90_fp8_gemm_1d2d_impl<(cute::UMMA::Major)0, 0u, 0u, 0u, 1u, 32u, 16u, 
         0       6846      -6846  void deep_gemm::sm90_fp8_paged_mqa_logits<1u, 32u, 128u, 64u, true, false, 3u, 3u, 256u,
      5690          0       5690  _radix_scan_kernel
         0       5543      -5543  void deep_gemm::sm90_fp8_gemm_1d2d_impl<(cute::UMMA::Major)0, 0u, 0u, 0u, 1u, 32u, 64u, 
     30184      25415       4769  void per_token_group_quant_8bit_kernel<NaiveScheduler, 128, 8, __nv_bfloat16, c10::Float
      3993          9       3985  void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<int>, std::arr
         0       3831      -3831  nvjet_sm90_tss_64x32_64x16_1x1_h_bz_splitK_TNT
      3616          0       3616  _block_count_kernel
      3569          0       3569  _emit_kernel
      3418          0       3418  void at::native::_scatter_gather_elementwise_kernel<128, 8, at::native::_cuda_scatter_ga
     11402       8436       2966  void deep_gemm::sm90_fp8_gemm_1d2d_impl<(cute::UMMA::Major)0, 0u, 0u, 0u, 1u, 32u, 32u, 
         0       2641      -2641  void (anonymous namespace)::fast_hadamard_transform_kernel<(anonymous namespace)::FastHa
      2125          0       2125  void at::native::index_elementwise_kernel<128, 4, at::native::index_fill_kernel_impl<at:
     32413      30316       2097  void sm90::decode::sparse_fp8::flash_fwd_splitkv_mla_fp8_sparse_kernel<sm90::decode::spa
      2075          0       2075  void at::native::index_elementwise_kernel<128, 4, at::native::index_copy_kernel_impl<at:
      2019          0       2019  _logical_to_physical_kernel
      5359       3566       1792  void at::native::elementwise_kernel<128, 4, at::native::gpu_kernel_impl_nocast<at::nativ
      1657         13       1644  void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::Ten
         0       1421      -1421  _act_quant_kernel
         0       1323      -1323  void cublasLt::splitKreduce_kernel<32, 16, int, float, float, float, float, false, float
         0       1150      -1150  kernel_cutlass_kernel_flashinfernormkernelslayernormLayerNormKernel_object_at__tensorptr
         0       1129      -1129  void (anonymous namespace)::fused_store_indexer_cache<__nv_bfloat16, long, 6u, true>((an
      1077          0       1077  _block_prefix_kernel
      1046         12       1034  void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::Ten
      1551       2571      -1020  void (anonymous namespace)::fused_rope_kernel<false, 64l, true, __nv_bfloat16, long, 8u>
         0        805       -805  triton_poi_fused_mul_unsqueeze_0
       804          0        804  void at::native::vectorized_elementwise_kernel<8, at::native::float16_copy_kernel_cuda(a
       780         23        757  void at::native::vectorized_elementwise_kernel<2, at::native::FillFunctor<long>, std::ar
         0        756       -756  triton_poi_fused_mul_0
      7799       7393        406  void smxx::decode::flash_fwd_mla_combine_kernel<cutlass::bfloat16_t, 512, 8, 160, 256>(C
      4021       3780        241  void per_token_group_quant_8bit_kernel<NaiveScheduler, 128, 8, __nv_bfloat16, c10::Float
      1472       1305        167  _quantize_k_cache_fast_kernel
