A = m2  (bs-29-il-4096-1781137390.3214703-TP-0-DECODE.trace.json.gz)  total_us=512687
B = m1  (bs-29-il-4096-1781135018.0539434-TP-0-DECODE.trace.json.gz)  total_us=585158
A/B total ratio = 0.88x

=== CATEGORY ROLLUP (us, and % of own total) ===
category                       A_us     A%       B_us     B%     A-B us
all-reduce                   146794   28.6     102653   17.5      44141
MoE                           91839   17.9      91804   15.7         35
topk/sort stack               20470    4.0     155184   26.5    -134714
norm/rope/elementwise         59524   11.6      59903   10.2       -379
DS:logical-score              43180    8.4      63161   10.8     -19981
attention(MLA)                43091    8.4      42549    7.3        543
GEMM/proj                     34755    6.8      34561    5.9        194
fp8-quant(index)              34206    6.7      27506    4.7       6700
other                         38705    7.5       5255    0.9      33451
memcpy/set                       93    0.0       2553    0.4      -2460
DSA:mqa-logits                   29    0.0         29    0.0          0

=== PER-KERNEL (us): A vs B, sorted by |A-B| ===
      A_us       B_us        A-B  kernel
         0      36915     -36915  void at::native::mbtopk::computeBlockDigitCounts<float, unsigned int, unsigned int, 2>(a
         0      28357     -28357  void at::native::sbtopk::gatherTopK<long, unsigned int, 2, false>(at::cuda::detail::Tens
     95225      67343      27882  void (anonymous namespace)::all_reduce_two_shot_kernel<__nv_bfloat16, 8u, true>(host::di
         0      21587     -21587  void at::native::radixSortKVInPlace<2, -1, 64, 32, long, long, unsigned int>(at::cuda::d
         0      20173     -20173  void at::native::mbtopk::gatherTopK<float, unsigned int, 2>(at::cuda::detail::TensorInfo
     43180      63161     -19981  _logical_score_kernel
     19422          0      19422  _radix_hist_kernel
     49725      33448      16276  void flashinfer::trtllm_allreduce_fusion::allreduce_fusion_kernel_oneshot_lamport<(flash
         0       7910      -7910  void at::native::mbtopk::computeBlockwiseWithinKCounts<unsigned int, float>(unsigned int
         0       7467      -7467  at::native::mbtopk::computeDigitCumSum(short*, unsigned int*, unsigned int)
     30184      23748       6436  void per_token_group_quant_8bit_kernel<NaiveScheduler, 128, 8, __nv_bfloat16, c10::Float
      5690          0       5690  _radix_scan_kernel
         0       5233      -5233  void at_cuda_detail::cub::detail::scan_by_key::DeviceScanByKeyKernel<at_cuda_detail::cub
      3616          0       3616  _block_count_kernel
      3569          0       3569  _emit_kernel
         0       3314      -3314  void at::native::(anonymous namespace)::searchsorted_cuda_kernel<long, long>(long*, long
      3993        703       3290  void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<int>, std::arr
      1046       3324      -2277  void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::Ten
      7548       5679       1869  void at::native::vectorized_elementwise_kernel<8, at::native::bfloat16_copy_kernel_cuda(
         0       1843      -1843  void at::native::mbtopk::computeBlockwiseKthCounts<unsigned int>(unsigned int*, short*, 
         0       1287      -1287  memset32
         0       1274      -1274  void at_cuda_detail::cub::detail::scan_by_key::DeviceScanByKeyInitKernel<at_cuda_detail:
         9       1183      -1174  Memset (Device)
      1077          0       1077  _block_prefix_kernel
         0       1030      -1030  void at::native::vectorized_elementwise_kernel<2, at::native::(anonymous namespace)::mas
         0        942       -942  void at::native::vectorized_elementwise_kernel<4, at::native::compare_scalar_kernel<long
         0        923       -923  void at::native::vectorized_elementwise_kernel<4, at::native::(anonymous namespace)::isn
         0        916       -916  void at::native::vectorized_elementwise_kernel<4, at::native::(anonymous namespace)::mas
         0        648       -648  void at::native::mbtopk::fill<unsigned int, unsigned int>(unsigned int*, unsigned int, u
      7799       7360        439  void smxx::decode::flash_fwd_mla_combine_kernel<cutlass::bfloat16_t, 512, 8, 160, 256>(C
      4021       3758        264  void per_token_group_quant_8bit_kernel<NaiveScheduler, 128, 8, __nv_bfloat16, c10::Float
      2509       2352        157  void (anonymous namespace)::act_and_mul_kernel<__nv_bfloat16, ((anonymous namespace)::Ac
      1659       1518        141  void at::native::(anonymous namespace)::distribution_elementwise_grid_stride_kernel<unsi
      5319       5192        127  triton_per_fused_copy__mul_sum_0
     32413      32311        102  void sm90::decode::sparse_fp8::flash_fwd_splitkv_mla_fp8_sparse_kernel<sm90::decode::spa
     14759      14851        -92  void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::Ten
      2830       2749         81  nvjet_sm90_tst_64x16_64x16_1x2_h_bz_TNT
       780        716         64  void at::native::vectorized_elementwise_kernel<2, at::native::FillFunctor<long>, std::ar
      1046        983         64  void count_and_sort_expert_tokens_kernel<int>(int const*, int*, int*, unsigned long)
      2019       1968         51  _logical_to_physical_kernel
