A = r1  (bs-29-il-4096-1781142012.554309-TP-0-DECODE.trace.json.gz)  total_us=480989
B = m1  (bs-29-il-4096-1781137390.3214703-TP-0-DECODE.trace.json.gz)  total_us=512687
A/B total ratio = 0.94x

=== CATEGORY ROLLUP (us, and % of own total) ===
category                       A_us     A%       B_us     B%     A-B us
all-reduce                   128609   26.7     146794   28.6     -18186
MoE                           91886   19.1      91839   17.9         46
norm/rope/elementwise         59199   12.3      59524   11.6       -324
attention(MLA)                42670    8.9      43091    8.4       -422
DS:logical-score              36908    7.7      43180    8.4      -6273
other                         38713    8.0      38705    7.5          7
GEMM/proj                     34635    7.2      34755    6.8       -120
fp8-quant(index)              27723    5.8      34206    6.7      -6482
topk/sort stack               20524    4.3      20470    4.0         54
memcpy/set                       93    0.0         93    0.0          0
DSA:mqa-logits                   29    0.0         29    0.0          0

=== PER-KERNEL (us): A vs B, sorted by |A-B| ===
      A_us       B_us        A-B  kernel
     33292      49725     -16433  void flashinfer::trtllm_allreduce_fusion::allreduce_fusion_kernel_oneshot_lamport<(flash
     23884      30184      -6300  void per_token_group_quant_8bit_kernel<NaiveScheduler, 128, 8, __nv_bfloat16, c10::Float
     36908      43180      -6273  _logical_score_kernel
     93480      95225      -1745  void (anonymous namespace)::all_reduce_two_shot_kernel<__nv_bfloat16, 8u, true>(host::di
      7360       7799       -439  void smxx::decode::flash_fwd_mla_combine_kernel<cutlass::bfloat16_t, 512, 8, 160, 256>(C
      3839       4021       -182  void per_token_group_quant_8bit_kernel<NaiveScheduler, 128, 8, __nv_bfloat16, c10::Float
     14911      14759        152  void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::Ten
      2362       2509       -147  void (anonymous namespace)::act_and_mul_kernel<__nv_bfloat16, ((anonymous namespace)::Ac
      5190       5319       -129  triton_per_fused_copy__mul_sum_0
     19527      19422        106  _radix_hist_kernel
       676        753        -77  triton_poi_fused_sum_1
      7481       7548        -67  void at::native::vectorized_elementwise_kernel<8, at::native::bfloat16_copy_kernel_cuda(
     88842      88782         59  fused_moe_kernel
       748        806        -58  triton_poi_fused__to_copy_arange_bitwise_not_eq_expand_masked_fill_scalar_tensor_unsquee
     13978      13922         56  void at::native::sbtopk::gatherTopK<float, unsigned int, 2, false>(at::cuda::detail::Ten
       726        780        -54  void at::native::vectorized_elementwise_kernel<2, at::native::FillFunctor<long>, std::ar
     32454      32413         41  void sm90::decode::sparse_fp8::flash_fwd_splitkv_mla_fp8_sparse_kernel<sm90::decode::spa
      1789       1828        -39  kernel_cutlass_kernel_flashinfernormkernelsrmsnormRMSNormKernel_object_at__tensorptrbf16
      1157       1118         39  kernel_cutlass_kernel_flashinfernormkernelsrmsnormRMSNormKernel_object_at__tensorptrbf16
      1440       1472        -32  _quantize_k_cache_fast_kernel
      2799       2830        -31  nvjet_sm90_tst_64x16_64x16_1x2_h_bz_TNT
      1305       1274         31  triton_poi_fused__to_copy_copy_div_gather_randint_select_sigmoid_4
      3964       3993        -29  void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<int>, std::arr
      3845       3871        -27  nvjet_sm90_tst_32x64_64x16_4x1_v_bz_splitK_TNN
     11376      11402        -26  void deep_gemm::sm90_fp8_gemm_1d2d_impl<(cute::UMMA::Major)0, 0u, 0u, 0u, 1u, 32u, 32u, 
      3595       3569         25  _emit_kernel
      5803       5828        -25  void deep_gemm::sm90_fp8_gemm_1d2d_impl<(cute::UMMA::Major)0, 0u, 0u, 0u, 1u, 32u, 48u, 
      3024       3049        -25  nvjet_sm90_tst_64x8_64x16_1x2_h_bz_TNT
      1635       1657        -22  void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::Ten
      2001       2019        -18  _logical_to_physical_kernel
      5342       5359        -17  void at::native::elementwise_kernel<128, 4, at::native::gpu_kernel_impl_nocast<at::nativ
      4103       4086         17  void deep_gemm::sm90_fp8_gemm_1d2d_impl<(cute::UMMA::Major)0, 0u, 0u, 0u, 1u, 32u, 16u, 
      1004        988         16  triton_poi_fused_add_sigmoid_unsqueeze_0
      1545       1561        -16  (anonymous namespace)::concat_mla_absorb_q_kernel(__nv_bfloat16*, __nv_bfloat16*, __nv_b
      1566       1551         15  void (anonymous namespace)::fused_rope_kernel<false, 64l, true, __nv_bfloat16, long, 8u>
      2089       2075         14  void at::native::index_elementwise_kernel<128, 4, at::native::index_copy_kernel_impl<at:
      1999       2011        -12  void moe_align_block_size_kernel<int>(int const*, int*, int*, int*, int, int, unsigned l
      1066       1077        -11  _block_prefix_kernel
      1219       1228        -10  void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::BFloat16>
      1023       1032         -9  set_mla_kv_buffer_kernel
