A = dryrun  (bs-29-il-4096-1781132876.893986-TP-0-DECODE.trace.json.gz)  total_us=631381
B = case1frozen  (bs-29-il-4096-1781001430.593264-TP-0-DECODE.trace.json.gz)  total_us=632239
A/B total ratio = 1.00x

=== CATEGORY ROLLUP (us, and % of own total) ===
category                       A_us     A%       B_us     B%     A-B us
all-reduce                   163177   25.8     163790   25.9       -613
topk/sort stack              159162   25.2     159166   25.2         -3
MoE                           91858   14.5      91880   14.5        -22
DS:logical-score              63211   10.0      63107   10.0        104
attention(MLA)                41923    6.6      41921    6.6          2
norm/rope/elementwise         41747    6.6      41895    6.6       -148
GEMM/proj                     34582    5.5      34596    5.5        -14
fp8-quant(index)              27632    4.4      27818    4.4       -186
other                          5224    0.8       5211    0.8         13
memcpy/set                     2836    0.4       2827    0.4         10
DSA:mqa-logits                   29    0.0         29    0.0          0

=== PER-KERNEL (us): A vs B, sorted by |A-B| ===
      A_us       B_us        A-B  kernel
     35098      35907       -808  void flashinfer::trtllm_allreduce_fusion::allreduce_fusion_kernel_oneshot_lamport<(flash
     23869      24051       -181  void per_token_group_quant_8bit_kernel<NaiveScheduler, 128, 8, __nv_bfloat16, c10::Float
     41404      41521       -117  void at::native::mbtopk::computeBlockDigitCounts<float, unsigned int, unsigned int, 2>(a
      1269       1155        114  void (anonymous namespace)::all_reduce_two_shot_kernel<__nv_bfloat16, 8u, true>(host::di
     63211      63107        104  _logical_score_kernel
      1548       1650       -103  void at::native::(anonymous namespace)::distribution_elementwise_grid_stride_kernel<unsi
      3367       3444        -77  void at::native::_scatter_gather_elementwise_kernel<128, 8, at::native::_cuda_scatter_ga
    124949     124873         76  ncclDevKernel_AllReduce_Sum_f32_RING_LL(ncclDevKernelArgsStorage<4096ul>)
      4100       4138        -38  void deep_gemm::sm90_fp8_gemm_1d2d_impl<(cute::UMMA::Major)0, 0u, 0u, 0u, 1u, 32u, 16u, 
      2240       2202         38  void at::native::index_elementwise_kernel<128, 4, at::native::index_fill_kernel_impl<at:
      1301       1338        -37  triton_poi_fused__to_copy_copy_div_gather_randint_select_sigmoid_4
      7943       7909         35  void at::native::mbtopk::computeBlockwiseWithinKCounts<unsigned int, float>(unsigned int
     88807      88840        -32  fused_moe_kernel
     31805      31834        -29  void sm90::decode::sparse_fp8::flash_fwd_splitkv_mla_fp8_sparse_kernel<sm90::decode::spa
      7254       7227         27  void smxx::decode::flash_fwd_mla_combine_kernel<cutlass::bfloat16_t, 512, 8, 160, 256>(C
     28330      28304         26  void at::native::sbtopk::gatherTopK<long, unsigned int, 2, false>(at::cuda::detail::Tens
      2105       2079         25  void at::native::index_elementwise_kernel<128, 4, at::native::index_copy_kernel_impl<at:
     13899      13878         21  void at::native::sbtopk::gatherTopK<float, unsigned int, 2, false>(at::cuda::detail::Ten
     21530      21510         20  void at::native::radixSortKVInPlace<2, -1, 64, 32, long, long, unsigned int>(at::cuda::d
       763        747         16  triton_poi_fused__to_copy_arange_bitwise_not_eq_expand_masked_fill_scalar_tensor_unsquee
       989        974         14  triton_poi_fused_add_sigmoid_unsqueeze_0
     19928      19916         12  void at::native::mbtopk::gatherTopK<float, unsigned int, 2>(at::cuda::detail::TensorInfo
      1227       1238        -11  void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::BFloat16>
      1323       1313         10  triton_red_fused_copy_gather_select_sigmoid_slice_sum_3
       716        708          8  void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<int>, std::arr
      1493       1485          7  Memset (Device)
      1026       1019          7  set_mla_kv_buffer_kernel
      1741       1734          7  kernel_cutlass_kernel_flashinfernormkernelsrmsnormRMSNormKernel_object_at__tensorptrbf16
      1128       1135         -7  kernel_cutlass_kernel_flashinfernormkernelsrmsnormRMSNormKernel_object_at__tensorptrbf16
     11431      11424          7  void deep_gemm::sm90_fp8_gemm_1d2d_impl<(cute::UMMA::Major)0, 0u, 0u, 0u, 1u, 32u, 32u, 
       640        634          6  nvjet_sm90_tst_192x32_64x7_4x1_v_bz_TNT
      3832       3826          6  nvjet_sm90_tst_32x64_64x16_4x1_v_bz_splitK_TNN
      5294       5299         -6  void at::native::elementwise_kernel<128, 4, at::native::gpu_kernel_impl_nocast<at::nativ
      5182       5188         -6  triton_per_fused_copy__mul_sum_0
      6534       6528          5  void at::native::bitonicSortKVInPlace<2, -1, 16, 16, float, long, at::native::GTOp<float
      1051       1046          5  void count_and_sort_expert_tokens_kernel<int>(int const*, int*, int*, unsigned long)
       896        901         -5  void at::native::vectorized_elementwise_kernel<4, at::native::(anonymous namespace)::mas
      1999       1995          5  void moe_align_block_size_kernel<int>(int const*, int*, int*, int*, int, int, unsigned l
      3763       3767         -4  void per_token_group_quant_8bit_kernel<NaiveScheduler, 128, 8, __nv_bfloat16, c10::Float
      3306       3302          4  void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::Ten
