A = dryrun  (bs-29-il-4096-1781132876.893986-TP-0-DECODE.trace.json.gz)  total_us=631381
B = case2  (bs-29-il-4096-1781002454.0426412-TP-0-DECODE.trace.json.gz)  total_us=342857
A/B total ratio = 1.84x

=== CATEGORY ROLLUP (us, and % of own total) ===
category                       A_us     A%       B_us     B%     A-B us
MoE                           91858   14.5     118590   34.6     -26733
all-reduce                   163177   25.8      39815   11.6     123362
topk/sort stack              159162   25.2      20564    6.0     138598
GEMM/proj                     34582    5.5      49335   14.4     -14753
attention(MLA)                41923    6.6      40521   11.8       1402
DS:logical-score              63211   10.0          0    0.0      63211
norm/rope/elementwise         41747    6.6      20278    5.9      21468
fp8-quant(index)              27632    4.4      30617    8.9      -2985
other                          5224    0.8       5843    1.7       -619
DSA:topk-transform                0    0.0       7685    2.2      -7685
DSA:mqa-logits                   29    0.0       6875    2.0      -6846
memcpy/set                     2836    0.4         93    0.0       2744
hadamard/sig                      0    0.0       2641    0.8      -2641

=== PER-KERNEL (us): A vs B, sorted by |A-B| ===
      A_us       B_us        A-B  kernel
    124949          0     124949  ncclDevKernel_AllReduce_Sum_f32_RING_LL(ncclDevKernelArgsStorage<4096ul>)
     63211          0      63211  _logical_score_kernel
     41404          0      41404  void at::native::mbtopk::computeBlockDigitCounts<float, unsigned int, unsigned int, 2>(a
     28330          0      28330  void at::native::sbtopk::gatherTopK<long, unsigned int, 2, false>(at::cuda::detail::Tens
     88807     115592     -26784  fused_moe_kernel
     21530          0      21530  void at::native::radixSortKVInPlace<2, -1, 64, 32, long, long, unsigned int>(at::cuda::d
     19928          0      19928  void at::native::mbtopk::gatherTopK<float, unsigned int, 2>(at::cuda::detail::TensorInfo
      7943          0       7943  void at::native::mbtopk::computeBlockwiseWithinKCounts<unsigned int, float>(unsigned int
         0       7685      -7685  (anonymous namespace)::topk_transform_decode_kernel((anonymous namespace)::FastTopKParam
      7441          0       7441  at::native::mbtopk::computeDigitCumSum(short*, unsigned int*, unsigned int)
      4100      11327      -7227  void deep_gemm::sm90_fp8_gemm_1d2d_impl<(cute::UMMA::Major)0, 0u, 0u, 0u, 1u, 32u, 16u, 
         0       6846      -6846  void deep_gemm::sm90_fp8_paged_mqa_logits<1u, 32u, 128u, 64u, true, false, 3u, 3u, 256u,
         0       5543      -5543  void deep_gemm::sm90_fp8_gemm_1d2d_impl<(cute::UMMA::Major)0, 0u, 0u, 0u, 1u, 32u, 64u, 
      5124          0       5124  void at_cuda_detail::cub::detail::scan_by_key::DeviceScanByKeyKernel<at_cuda_detail::cub
         0       3831      -3831  nvjet_sm90_tss_64x32_64x16_1x1_h_bz_splitK_TNT
      3367          0       3367  void at::native::_scatter_gather_elementwise_kernel<128, 8, at::native::_cuda_scatter_ga
      3337          0       3337  void at::native::(anonymous namespace)::searchsorted_cuda_kernel<long, long>(long*, long
      3306         12       3294  void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::Ten
     11431       8436       2995  void deep_gemm::sm90_fp8_gemm_1d2d_impl<(cute::UMMA::Major)0, 0u, 0u, 0u, 1u, 32u, 32u, 
         0       2641      -2641  void (anonymous namespace)::fast_hadamard_transform_kernel<(anonymous namespace)::FastHa
      2240          0       2240  void at::native::index_elementwise_kernel<128, 4, at::native::index_fill_kernel_impl<at:
      2105          0       2105  void at::native::index_elementwise_kernel<128, 4, at::native::index_copy_kernel_impl<at:
      2210        126       2085  void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::Ten
      1997          0       1997  _logical_to_physical_kernel
      5294       3566       1727  void at::native::elementwise_kernel<128, 4, at::native::gpu_kernel_impl_nocast<at::nativ
      1719          0       1719  void at::native::mbtopk::computeBlockwiseKthCounts<unsigned int>(unsigned int*, short*, 
      1633         13       1620  void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::Ten
     23869      25415      -1546  void per_token_group_quant_8bit_kernel<NaiveScheduler, 128, 8, __nv_bfloat16, c10::Float
      1269       2791      -1522  void (anonymous namespace)::all_reduce_two_shot_kernel<__nv_bfloat16, 8u, true>(host::di
     31805      30316       1489  void sm90::decode::sparse_fp8::flash_fwd_splitkv_mla_fp8_sparse_kernel<sm90::decode::spa
      1493          8       1485  Memset (Device)
         0       1421      -1421  _act_quant_kernel
      1341          0       1341  void at_cuda_detail::cub::detail::scan_by_key::DeviceScanByKeyInitKernel<at_cuda_detail:
         0       1323      -1323  void cublasLt::splitKreduce_kernel<32, 16, int, float, float, float, float, false, float
      1260          0       1260  memset32
     35098      33841       1258  void flashinfer::trtllm_allreduce_fusion::allreduce_fusion_kernel_oneshot_lamport<(flash
         0       1150      -1150  kernel_cutlass_kernel_flashinfernormkernelslayernormLayerNormKernel_object_at__tensorptr
         0       1129      -1129  void (anonymous namespace)::fused_store_indexer_cache<__nv_bfloat16, long, 6u, true>((an
      1030          0       1030  void at::native::vectorized_elementwise_kernel<2, at::native::(anonymous namespace)::mas
      1582       2571       -989  void (anonymous namespace)::fused_rope_kernel<false, 64l, true, __nv_bfloat16, long, 8u>
