A = Case1 DS-on bs29  (bs-29-il-4096-1781001430.593264-TP-0-DECODE.trace.json.gz)  total_us=632239
B = Case2 DSA bs29  (bs-29-il-4096-1781002454.0426412-TP-0-DECODE.trace.json.gz)  total_us=342857
A/B total ratio = 1.84x

=== CATEGORY ROLLUP (us, and % of own total) ===
category                       A_us     A%       B_us     B%     A-B us
MoE                           91880   14.5     118590   34.6     -26711
all-reduce                   163790   25.9      39815   11.6     123975
topk/sort stack              159166   25.2      20564    6.0     138602
GEMM/proj                     34596    5.5      49335   14.4     -14739
attention(MLA)                41921    6.6      40521   11.8       1400
DS:logical-score              63107   10.0          0    0.0      63107
norm/rope/elementwise         41895    6.6      20278    5.9      21616
fp8-quant(index)              27818    4.4      30617    8.9      -2799
other                          5211    0.8       5843    1.7       -632
DSA:topk-transform                0    0.0       7685    2.2      -7685
DSA:mqa-logits                   29    0.0       6875    2.0      -6846
memcpy/set                     2827    0.4         93    0.0       2734
hadamard/sig                      0    0.0       2641    0.8      -2641

=== PER-KERNEL (us): A vs B, sorted by |A-B| ===
      A_us       B_us        A-B  kernel
    124873          0     124873  ncclDevKernel_AllReduce_Sum_f32_RING_LL(ncclDevKernelArgsStorage<4096ul>)
     63107          0      63107  _logical_score_kernel
     41521          0      41521  void at::native::mbtopk::computeBlockDigitCounts<float, unsigned int, unsigned int, 2>(a
     28304          0      28304  void at::native::sbtopk::gatherTopK<long, unsigned int, 2, false>(at::cuda::detail::Tens
     88840     115592     -26752  fused_moe_kernel
     21510          0      21510  void at::native::radixSortKVInPlace<2, -1, 64, 32, long, long, unsigned int>(at::cuda::d
     19916          0      19916  void at::native::mbtopk::gatherTopK<float, unsigned int, 2>(at::cuda::detail::TensorInfo
      7909          0       7909  void at::native::mbtopk::computeBlockwiseWithinKCounts<unsigned int, float>(unsigned int
         0       7685      -7685  (anonymous namespace)::topk_transform_decode_kernel((anonymous namespace)::FastTopKParam
      7442          0       7442  at::native::mbtopk::computeDigitCumSum(short*, unsigned int*, unsigned int)
      4138      11327      -7188  void deep_gemm::sm90_fp8_gemm_1d2d_impl<(cute::UMMA::Major)0, 0u, 0u, 0u, 1u, 32u, 16u, 
         0       6846      -6846  void deep_gemm::sm90_fp8_paged_mqa_logits<1u, 32u, 128u, 64u, true, false, 3u, 3u, 256u,
         0       5543      -5543  void deep_gemm::sm90_fp8_gemm_1d2d_impl<(cute::UMMA::Major)0, 0u, 0u, 0u, 1u, 32u, 64u, 
      5124          0       5124  void at_cuda_detail::cub::detail::scan_by_key::DeviceScanByKeyKernel<at_cuda_detail::cub
         0       3831      -3831  nvjet_sm90_tss_64x32_64x16_1x1_h_bz_splitK_TNT
      3444          0       3444  void at::native::_scatter_gather_elementwise_kernel<128, 8, at::native::_cuda_scatter_ga
      3341          0       3341  void at::native::(anonymous namespace)::searchsorted_cuda_kernel<long, long>(long*, long
      3302         12       3290  void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::Ten
     11424       8436       2988  void deep_gemm::sm90_fp8_gemm_1d2d_impl<(cute::UMMA::Major)0, 0u, 0u, 0u, 1u, 32u, 32u, 
         0       2641      -2641  void (anonymous namespace)::fast_hadamard_transform_kernel<(anonymous namespace)::FastHa
      2202          0       2202  void at::native::index_elementwise_kernel<128, 4, at::native::index_fill_kernel_impl<at:
      2212        126       2087  void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::Ten
      2079          0       2079  void at::native::index_elementwise_kernel<128, 4, at::native::index_copy_kernel_impl<at:
     35907      33841       2066  void flashinfer::trtllm_allreduce_fusion::allreduce_fusion_kernel_oneshot_lamport<(flash
      1999          0       1999  _logical_to_physical_kernel
      5299       3566       1733  void at::native::elementwise_kernel<128, 4, at::native::gpu_kernel_impl_nocast<at::nativ
      1722          0       1722  void at::native::mbtopk::computeBlockwiseKthCounts<unsigned int>(unsigned int*, short*, 
      1155       2791      -1635  void (anonymous namespace)::all_reduce_two_shot_kernel<__nv_bfloat16, 8u, true>(host::di
      1637         13       1624  void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::Ten
     31834      30316       1519  void sm90::decode::sparse_fp8::flash_fwd_splitkv_mla_fp8_sparse_kernel<sm90::decode::spa
      1485          8       1478  Memset (Device)
         0       1421      -1421  _act_quant_kernel
     24051      25415      -1365  void per_token_group_quant_8bit_kernel<NaiveScheduler, 128, 8, __nv_bfloat16, c10::Float
      1338          0       1338  void at_cuda_detail::cub::detail::scan_by_key::DeviceScanByKeyInitKernel<at_cuda_detail:
         0       1323      -1323  void cublasLt::splitKreduce_kernel<32, 16, int, float, float, float, float, false, float
      1257          0       1257  memset32
         0       1150      -1150  kernel_cutlass_kernel_flashinfernormkernelslayernormLayerNormKernel_object_at__tensorptr
         0       1129      -1129  void (anonymous namespace)::fused_store_indexer_cache<__nv_bfloat16, long, 6u, true>((an
      1030          0       1030  void at::native::vectorized_elementwise_kernel<2, at::native::(anonymous namespace)::mas
      1584       2571       -986  void (anonymous namespace)::fused_rope_kernel<false, 64l, true, __nv_bfloat16, long, 8u>
